Year,Employment (Gov),WPV (Gov),WPV (US)
2004,14696,32.2438385438493,21.9323279641072
2005,13498,30.0809855545304,21.4063459151358
2006,12943,30.4816587222337,22.0251523373541
2007,8634,24.4393305084026,20.9945391297809
2008,8297,25.3633156643006,22.9582205568816
2009,4912.5,35.145518543956,27.70537082576
2010,2807,NaN,20.0033105315236
2011,2966,NaN,19.0369170692361
2012,2684,17.2854612783771,17.0978019269868
2013,2641.5,16.6074628273239,16.878541619941
2014,2863,19.0806880510773,17.3829734251925
2015,1673.5,16.9380876711774,16.959124850363
2016,1526,17.4867646047716,17.4677490541698
2017,1528.5,21.9659409355465,19.7429296175891
2018,1005,19.3488766099998,21.2212961063202
2019,966,27.2919903941235,22.463901095163
2020,834,19.6004700352526,25.7569867715809
2021,998,30.1565238411797,27.9337887963163
2022,1314,31.3566400190908,27.2569511826508
